sqft,bedrooms,age
2890.0,4,2.5
1985.0,4,53.0
3118.0,4,42.6
2683.0,1,10.4
1054.0,5,5.5
3434.0,3,11.0
2855.0,2,58.8
2922.0,3,27.5
1146.0,5,47.0
2016.0,5,38.2
1801.0,5,34.3
3302.0,3,8.7
2538.0,4,56.8
3021.0,2,18.1
1997.0,4,34.7
1414.0,4,42.0
2297.0,2,39.0
972.0,2,56.4
3035.0,1,8.9
2505.0,1,30.5
2847.0,3,24.2
1757.0,3,28.5
3421.0,1,7.2
3211.0,3,8.0
2902.0,4,16.7
1326.0,2,18.3
2060.0,2,25.7
918.0,2,36.7
1217.0,3,38.1
2644.0,2,24.7
2811.0,4,24.5
3412.0,2,13.1
1680.0,3,35.3
1800.0,2,19.0
2068.0,1,2.2
1312.0,4,25.1
1151.0,2,28.4
2084.0,2,13.5
1413.0,4,34.3
2608.0,5,33.9
1980.0,4,42.1
3048.0,5,38.9
2691.0,5,39.1
1643.0,3,19.0
3047.0,4,47.2
2973.0,2,32.9
1846.0,3,25.9
1578.0,3,37.6
2643.0,5,21.6
1177.0,5,30.8
1340.0,3,44.2
820.0,4,53.2
2925.0,2,55.3
2595.0,5,30.2
2704.0,3,31.2
2908.0,3,48.0
2039.0,4,18.9
2336.0,4,50.2
1177.0,1,29.6
1109.0,2,7.0
2605.0,1,4.3
2072.0,4,50.5
2326.0,1,3.3
2865.0,2,16.8
2514.0,3,20.0
2295.0,4,10.4
2310.0,3,18.8
1621.0,5,44.6
883.0,5,0.9
1979.0,1,49.6
1379.0,5,51.4
1903.0,4,22.3
3104.0,4,9.2
1432.0,1,36.1
957.0,4,7.2
1560.0,4,21.9
1593.0,3,57.5
2587.0,1,59.7
2304.0,3,46.3
2917.0,5,18.7
2594.0,4,41.3
1897.0,1,42.3
2998.0,5,23.3
1251.0,5,38.5
861.0,1,0.6
1043.0,5,12.5
2750.0,3,31.5
2047.0,3,9.8
1235.0,3,10.0
2153.0,4,50.2
1211.0,5,59.3
2680.0,4,33.4
2005.0,5,50.3
1829.0,5,59.4
1614.0,1,8.5
2502.0,2,26.9
1777.0,4,23.6
1037.0,3,4.8
1119.0,1,45.3
3397.0,1,26.0
3253.0,3,28.2
2689.0,4,9.0
1518.0,1,10.9
3417.0,1,54.4
2903.0,1,2.7
2736.0,3,14.0
2013.0,1,17.5
1535.0,3,29.4
1060.0,3,35.2
3237.0,3,29.6
2031.0,4,5.0
1346.0,3,14.6
1626.0,4,50.6
2364.0,4,38.3
1277.0,5,38.9
3113.0,4,40.2
2848.0,3,45.8
2743.0,3,3.5
1967.0,2,22.0
2494.0,3,32.4
2377.0,1,20.3
2555.0,5,50.7
1028.0,5,29.0
1923.0,1,46.1
912.0,4,51.1
2134.0,1,30.3
1691.0,4,54.6
1190.0,1,35.2
1079.0,3,51.0
2387.0,4,20.4
1261.0,4,29.9
3298.0,3,31.9
2369.0,5,6.3
1737.0,4,23.9
2395.0,2,55.0
862.0,4,37.8
3388.0,4,10.7
2102.0,2,20.3
2913.0,4,11.5
1023.0,5,1.5
2114.0,5,55.6
2125.0,4,26.9
3332.0,4,18.5
2344.0,2,35.9
2078.0,4,0.4
1521.0,2,16.7
1695.0,3,42.2
2206.0,2,38.0
1985.0,2,58.9
858.0,1,37.2
3031.0,5,28.7
3220.0,1,45.7
1179.0,1,54.2
2296.0,5,43.2
1093.0,3,57.8
2615.0,3,46.9
1559.0,4,52.0
2580.0,2,6.8
2763.0,1,43.9
2875.0,4,26.4
1091.0,1,33.2
3273.0,3,39.2
1422.0,5,58.2
901.0,5,59.1
2298.0,2,17.3
1801.0,4,44.0
3040.0,4,45.0
2982.0,3,20.8
1656.0,1,7.4
3373.0,2,2.5
1585.0,4,46.6
2191.0,5,29.4
1491.0,1,59.1
3327.0,4,27.9
1244.0,5,58.7
921.0,5,24.7
1975.0,3,47.6
3479.0,1,5.1
3208.0,2,33.3
2821.0,5,48.1
3205.0,5,55.5
3212.0,4,49.4
2201.0,1,2.2
1653.0,1,22.4
2884.0,3,2.9
2586.0,3,6.6
1809.0,1,40.5
1055.0,4,42.8
2816.0,3,46.4
1509.0,1,51.9
3329.0,1,44.4
1451.0,3,48.1
