cow_id,barn_number,age_months,feed_amount_kg,feed_protein_pct,water_intake_liters,vet_visit_count,milk_yield_liters
1,1,86,11.04,13.65,59.0,0,28.07
2,2,22,11.42,14.41,77.3,0,21.51
3,3,49,21.37,13.09,73.6,0,29.26
4,5,53,19.41,16.41,68.7,0,28.87
5,4,80,12.76,17.82,63.5,0,28.47
6,4,28,12.91,12.03,81.9,0,23.11
7,3,51,10.55,16.06,66.5,0,28.16
8,1,29,8.28,15.45,65.4,2,33.96
9,2,79,13.65,16.85,71.6,1,28.04
10,5,67,11.01,15.97,95.4,3,31.96
11,1,56,13.75,12.37,49.9,0,31.6
12,5,48,9.2,12.84,81.5,1,27.46
13,4,29,11.71,16.07,41.6,0,21.55
14,2,89,14.45,18.57,73.3,0,28.77
15,4,68,15.1,10.46,93.6,3,38.74
16,5,42,15.25,16.86,77.3,1,26.04
17,1,50,10.04,18.97,72.6,1,27.81
18,1,74,16.56,15.62,61.6,2,39.85
19,4,74,11.6,17.38,70.5,1,37.83
20,5,53,15.9,14.24,66.2,0,39.1
21,1,41,13.97,15.7,58.2,0,24.4
22,4,69,9.87,11.95,65.7,1,39.59
23,1,69,13.05,10.14,73.0,0,25.16
24,4,64,15.1,18.36,58.5,2,36.51
25,4,23,15.84,13.54,57.9,1,19.09
26,1,54,13.58,14.86,49.6,0,35.21
27,4,65,18.6,12.53,75.9,1,30.6
28,5,92,17.02,12.48,78.2,1,36.82
29,5,58,13.23,15.57,73.5,2,38.72
30,1,44,16.25,14.18,84.5,0,28.6
31,2,61,19.8,16.94,71.3,2,31.66
32,2,31,19.88,17.13,75.9,1,35.8
33,3,25,10.32,16.8,74.6,2,33.47
34,1,70,11.22,16.6,68.6,1,35.48
35,5,94,18.45,19.94,62.0,1,35.76
36,4,83,10.83,13.33,103.2,0,36.71
37,5,63,10.03,15.86,63.2,2,34.51
38,1,21,12.54,18.83,60.0,1,24.77
39,1,95,15.26,19.16,76.5,0,22.54
40,5,53,13.69,12.45,73.8,4,31.47
41,2,40,12.05,15.22,48.9,2,26.35
42,4,87,11.98,19.4,86.8,0,29.64
43,5,76,11.86,17.27,68.6,1,31.36
44,1,76,11.36,16.49,53.3,3,39.51
45,1,39,20.84,15.46,87.8,1,40.19
46,1,95,14.89,15.04,79.4,2,27.33
47,1,53,16.66,16.72,51.0,3,41.31
48,1,59,12.53,15.37,96.7,1,27.55
49,5,76,13.44,15.89,79.9,2,33.76
50,4,69,11.86,16.2,69.8,4,37.15
51,5,31,6.04,14.3,93.9,0,24.74
52,5,41,9.87,17.33,72.4,0,22.49
53,5,46,8.57,23.29,69.6,4,36.41
54,2,91,7.25,11.56,60.1,2,29.96
55,2,73,10.41,16.81,78.7,0,24.4
56,5,46,17.97,14.1,77.1,2,40.06
57,2,75,13.87,17.44,70.2,1,30.12
58,1,75,17.87,16.12,58.2,2,38.22
59,4,48,15.23,17.9,71.9,0,27.62
60,5,49,16.35,18.94,69.0,1,43.14
61,5,87,11.3,16.48,50.0,0,33.06
62,5,61,15.57,18.83,47.9,0,28.57
63,1,29,16.19,10.14,78.5,0,28.27
64,4,74,12.27,19.98,31.0,2,34.44
65,5,63,15.68,16.94,73.1,2,41.95
66,4,57,15.7,18.69,62.8,0,23.56
67,5,74,12.35,12.95,89.6,0,29.81
68,5,88,10.63,13.92,62.6,0,21.8
69,3,43,10.45,16.36,79.9,2,35.58
70,1,50,14.26,15.96,64.0,3,36.96
71,3,32,14.98,16.71,71.7,1,36.83
72,2,68,11.62,18.71,81.1,1,32.47
73,1,49,14.08,11.59,63.1,3,26.86
74,1,44,15.71,18.43,84.9,1,31.04
75,4,72,15.85,16.02,55.1,0,30.51
76,3,49,18.66,15.49,74.4,2,37.71
77,3,54,17.83,12.32,83.8,0,26.16
78,4,52,11.0,17.26,79.9,2,37.82
79,3,38,19.05,10.0,98.7,2,40.43
80,4,27,12.41,17.62,58.5,0,30.08
81,1,82,17.13,12.27,49.3,0,33.26
82,5,25,14.2,16.13,55.1,0,23.1
83,3,43,12.76,15.7,79.9,2,40.91
84,1,70,8.58,18.92,77.5,1,36.39
85,5,28,13.49,15.55,71.5,1,30.88
86,4,69,9.32,14.26,53.2,1,30.79
87,1,75,16.9,14.73,81.5,4,43.46
88,1,69,18.55,19.18,51.6,1,31.21
89,1,41,11.61,17.34,87.4,1,26.23
90,2,19,14.91,15.04,112.9,1,34.93
91,1,87,11.82,15.41,75.5,3,37.62
92,4,43,12.11,12.08,78.7,0,25.3
93,3,80,16.32,16.97,62.6,2,34.19
94,5,33,13.88,11.6,42.8,3,38.75
95,4,30,19.22,17.88,61.0,1,28.24
96,4,78,12.55,16.32,53.6,1,33.2
97,3,91,17.0,21.97,48.3,1,29.44
98,1,85,14.29,13.25,95.8,3,35.11
99,1,76,16.39,15.74,74.1,1,34.35
100,4,37,12.66,20.5,75.7,1,38.36
101,1,89,13.85,18.98,65.4,2,37.63
102,1,70,13.65,14.26,67.4,2,35.46
103,2,31,11.49,16.56,84.5,1,36.37
104,5,28,15.99,16.0,69.5,0,19.34
105,3,85,15.95,16.7,78.0,1,32.17
106,4,39,15.78,14.25,67.1,0,33.02
107,3,77,18.61,15.78,64.9,1,32.18
108,1,28,18.35,12.0,48.9,0,28.14
109,2,39,12.88,16.34,40.3,1,34.97
110,1,40,15.12,17.13,66.1,3,32.21
111,4,39,12.13,15.43,70.8,0,24.29
112,1,70,14.07,11.96,50.7,1,35.97
113,2,89,12.2,18.47,69.5,0,25.11
114,5,89,18.86,16.91,70.8,0,29.25
115,3,75,15.09,14.18,37.7,0,22.07
116,3,33,13.35,15.3,56.3,1,35.59
117,3,92,17.58,12.25,76.1,1,25.33
118,4,60,7.49,13.44,75.8,3,36.17
119,2,60,7.96,14.66,52.7,1,28.48
120,4,72,16.39,19.07,72.4,0,28.38
121,5,77,14.18,14.4,85.3,2,31.64
122,3,92,14.75,17.6,81.7,2,37.37
123,3,63,10.02,14.65,68.6,0,32.11
124,1,65,13.93,16.62,63.0,0,25.45
125,2,76,20.01,15.65,60.6,2,40.74
126,5,37,16.47,18.18,77.0,3,41.43
127,3,42,14.51,14.66,72.9,4,36.03
128,2,66,12.68,12.07,79.4,2,37.63
129,3,23,12.82,12.55,72.0,0,26.61
130,3,42,7.61,14.67,82.3,0,28.79
131,3,74,14.77,12.88,71.4,2,36.16
132,4,94,16.54,17.03,81.8,0,28.79
133,2,58,9.27,14.84,83.1,2,34.1
134,4,49,12.02,21.94,57.9,3,38.39
135,3,52,10.53,11.66,42.9,2,32.88
136,5,71,11.1,16.51,93.2,0,26.41
137,1,60,14.16,13.18,73.8,2,35.52
138,1,19,7.75,14.77,44.3,0,26.37
