id,water_temperature,fish_density,catch_weight
0,12.25,2.96,14.58
1,12.1,3.38,15.08
2,12.95,3.32,15.63
3,12.8,3.74,16.12
4,13.65,3.68,16.67
5,13.5,4.1,17.17
6,14.35,4.04,17.72
7,14.2,4.46,18.22
8,15.05,4.4,18.77
9,14.9,4.82,19.26
10,15.75,4.76,19.81
11,15.6,5.18,20.31
12,16.45,5.12,20.86
13,16.3,5.54,21.36
14,17.15,1.88,16.69
15,17.0,2.3,17.19
16,17.85,2.24,17.74
17,17.7,2.66,18.23
18,18.55,2.6,18.78
19,18.4,3.02,19.28
20,12.25,2.96,14.58
21,12.1,3.38,15.08
22,12.95,3.32,15.63
23,12.8,3.74,16.12
24,13.65,3.68,16.67
25,13.5,4.1,17.17
26,14.35,4.04,17.72
27,14.2,4.46,18.22
28,15.05,4.4,18.77
29,14.9,4.82,19.26
30,15.75,4.76,19.81
31,15.6,5.18,20.31
32,16.45,5.12,20.86
33,16.3,5.54,21.36
34,17.15,1.88,16.69
35,17.0,2.3,17.19
36,17.85,2.24,17.74
37,17.7,2.66,18.23
38,18.55,2.6,18.78
39,18.4,3.02,19.28
40,12.25,2.96,14.58
41,12.1,3.38,15.08
42,12.95,3.32,15.63
43,12.8,3.74,16.12
44,13.65,3.68,16.67
45,13.5,4.1,17.17
46,14.35,4.04,17.72
47,14.2,4.46,18.22
48,15.05,4.4,18.77
49,14.9,4.82,19.26
50,15.75,4.76,19.81
51,15.6,5.18,20.31
52,16.45,5.12,20.86
53,16.3,5.54,21.36
54,17.15,1.88,16.69
55,17.0,2.3,17.19
56,17.85,2.24,17.74
57,17.7,2.66,18.23
58,18.55,2.6,18.78
59,18.4,3.02,19.28
60,12.25,2.96,14.58
61,12.1,3.38,15.08
62,12.95,3.32,15.63
63,12.8,3.74,16.12
64,13.65,3.68,16.67
65,13.5,4.1,17.17
66,14.35,4.04,17.72
67,14.2,4.46,18.22
68,15.05,4.4,18.77
69,14.9,4.82,19.26
70,15.75,4.76,19.81
71,15.6,5.18,20.31
72,16.45,5.12,20.86
73,16.3,5.54,21.36
74,17.15,1.88,16.69
75,17.0,2.3,17.19
76,17.85,2.24,17.74
77,17.7,2.66,18.23
78,18.55,2.6,18.78
79,18.4,3.02,19.28
80,12.25,2.96,14.58
81,12.1,3.38,15.08
82,12.95,3.32,15.63
83,12.8,3.74,16.12
84,13.65,3.68,16.67
85,13.5,4.1,17.17
86,14.35,4.04,17.72
87,14.2,4.46,18.22
88,15.05,4.4,18.77
89,14.9,4.82,19.26
90,15.75,4.76,19.81
91,15.6,5.18,20.31
92,16.45,5.12,20.86
93,16.3,5.54,21.36
94,17.15,1.88,16.69
95,17.0,2.3,17.19
96,17.85,2.24,17.74
97,17.7,2.66,18.23
98,18.55,2.6,18.78
99,18.4,3.02,19.28
100,12.25,2.96,14.58
101,12.1,3.38,15.08
102,12.95,3.32,15.63
103,12.8,3.74,16.12
104,13.65,3.68,16.67
105,13.5,4.1,17.17
106,14.35,4.04,17.72
107,14.2,4.46,18.22
108,15.05,4.4,18.77
109,14.9,4.82,19.26
110,15.75,4.76,19.81
111,15.6,5.18,20.31
112,16.45,5.12,20.86
113,16.3,5.54,21.36
114,17.15,1.88,16.69
115,17.0,2.3,17.19
116,17.85,2.24,17.74
117,17.7,2.66,18.23
118,18.55,2.6,18.78
119,18.4,3.02,19.28
120,12.25,2.96,14.58
121,12.1,3.38,15.08
122,12.95,3.32,15.63
123,12.8,3.74,16.12
124,13.65,3.68,16.67
125,13.5,4.1,17.17
126,14.35,4.04,17.72
127,14.2,4.46,18.22
128,15.05,4.4,18.77
129,14.9,4.82,19.26
130,15.75,4.76,19.81
131,15.6,5.18,20.31
132,16.45,5.12,20.86
133,16.3,5.54,21.36
134,17.15,1.88,16.69
135,17.0,2.3,17.19
136,17.85,2.24,17.74
137,17.7,2.66,18.23
138,18.55,2.6,18.78
139,18.4,3.02,19.28
140,12.25,2.96,14.58
141,12.1,3.38,15.08
142,12.95,3.32,15.63
143,12.8,3.74,16.12
144,13.65,3.68,16.67
145,13.5,4.1,17.17
146,14.35,4.04,17.72
147,14.2,4.46,18.22
148,15.05,4.4,18.77
149,14.9,4.82,19.26
150,15.75,4.76,19.81
151,15.6,5.18,20.31
152,16.45,5.12,20.86
153,16.3,5.54,21.36
154,17.15,1.88,16.69
155,17.0,2.3,17.19
156,17.85,2.24,17.74
157,17.7,2.66,18.23
158,18.55,2.6,18.78
159,18.4,3.02,19.28
